id,company,department,job,base,work_begin,work_end,launch_time,dinner_time,wed,fri,workdays,summary,remark,category,suggestion,struct,welfare,is_foreign,domain
643,字节,系统架构,后,杭州,10,8-10，平均9点,2,随意，一般1h左右,双周七点,可以早走,5,周报,氛围好，平时经常一起打王者。部门比较边缘。做的东西还不错。最后一个月上班时间下午两点到晚上10点,,,,,,互联网
644,字节,小荷,产品,北京,10:00 可迟到,21离开工位，24小时on call,12:00,19:00,是,否,5,周报 okr,,,,,,,互联网
645,字节,幸福里,后端,北京,10:00-10:30,22:00-22:30,12:00-14:00,19:00-20:00,每两周一次活动日，晚饭提前1h，可提前下班,可以早走,5.5,日报,非常边缘没有存在感，组内氛围很差，没有技术含量，外行引领内行，部门内社招臭鱼烂虾偏多，新人零培养来了需要立即上手，领导高pua，缺乏发展动力并且没有任何前景（参考国家铁拳），新人快跑！！！,,,,,,互联网
646,字节,幸福里,后端,北京,10-10.30,没事9点半就可以走,12：00-14：00,06:50,每两周一次活动日，不过活动日已经名存实亡,是,5,mentor不要求,组内氛围不错，mentor9点带头下班，不push。但是业务方向有不确定性，没有更好的offer可以考虑,,,,,,互联网
647,字节,幸福里,客户端,北京,9:00~11:00,21:00~23:00,12:00-14:00,19:00-20:00,每两周一次活动日，晚饭提前1h，可提前下班,可以早走,5,日报,组内氛围好，不push,,,,,,互联网
648,字节,用户增长,后端,北京,10-10.5,9:00~10:00,2h,不固定,双周活动日,可以早走,5,新人有周报,氛围很好，组里日常很快乐，晚上偶尔加班，需求较多,,,,,,互联网
649,字节,用户增长,客户端安全,,10,8月9日,2h,不固定,否,吃完饭可以走,5,有周报,不卷,,,,,,互联网
650,字节,支付,后端,深圳,10:30,22:00～01:00,2h,0.5h,双周活动日,否，但可早走,5,有，但我没写过,氛围好,,,,,,互联网
651,字节,中台,人事,成都,09:00,19:00之后,12:00-13:30,无,无,无,5,周会和周报,流动性极高，办公室政治,,,,,,互联网
654,字节跳动,抖音-用户增长,前端,北京,10.30-11:00,9:00-10:00,12月14日,19:00-20:00,双周活动日,可以早走,5,是,,,,,,,互联网
655,字节跳动,抖音直播,后端,杭州,11:00,21:00,12:00 - 14:00,18:50 - 20:00,双周活动日,否，但是可以很早就走,5,第一个月日报，之后周报,氛围好，不卷，无加班文化，ld亲和,,,,,,互联网
656,字节跳动,教育,后端,北京,10:30,8:00:00～10:00:00(东西做完了就早点走),2h,7:00-8:00,活动日周三七点,,5,第一个月日报,氛围好，同事关系融洽，食堂好吃。天使办公环境较差，开会常常抢不到会议室，只能去大恒。二楼男厕只有两个坑，常常要排队。,,,,,,互联网
657,字节跳动,业务中台,前端,北京,10：00-11：00,21：00-22：00,12:00,18:50,否,可以早走,5,周报,,,,,,,互联网
658,字节跳动,TikTok,后端,北京,10~11,21~22,12~14,19~20,两周一个活动日吃完晚饭就下班,吃完晚饭就下班,5,第一个月日报，以后周报,挺好的部门,,,,,,互联网
659,字节跳动,抖音,后端,北京,10,9,12～14,19,活动日晚饭后下班,晚饭后下班,5,日报,,,,,,,互联网
660,贝壳找房,人工智能技术中心,产品经理,北京,10点,7-9点不等,12:30,06:50,否,否,5,否,,,,,,,互联网
661,百度,搜索技术平台研发部,算法,北京,10,10,12,18,否,否,5,是,,,,,,,互联网
662,bilibili,游戏发行事业部,运营,上海,大部队10点半到,工时满8h即可，大部队20点左右走,12月14日,20:30加班餐,无,无,5,周报,工作时间弹性，但是公司文化“极致执行”，意思就是你上班下班没啥区别，随时找你都要应,,,,,,互联网
663,BIGO,产品研发与效率部,Senior Engineer,广州,9:00-10:00,21:30-23:00,12:30,18:30,否,否,5,都要,,,,,,,互联网
664,某央企市政设计院,第十三院,桥梁工程师,天津,08:30,9:00左右，视情况而定,12:00,17:00,否,否,一般6天，少数情况7天或5天,否,曾经下班时间晚于10:00，每周6-7天，持续5个月,,,,,,互联网
665,新浪微博,算法组,算法工程师,北京,9-11点,上班时间往后延9小时即可,12月14日,,否,否,5,周报,,,,,,,互联网
666,字节跳动,抖音社交,Android开发,北京,10点半~11点,硬性规定9点半，一般10点。,12点,6点50,是，双周的周三可以提前下班，5点50走,是，可以提前走,5,新人一个月日报，之后每周都需要周报,实习生，正式的作息也一致,,,,,,互联网
667,腾讯,CSIG腾讯安全,安全,北京,09:30,18:00,12:00,18:00,否,否,5,实习生日报,,,,,,,互联网
668,便利蜂,店务智能决策部,后端,北京,10:00,22:00,12:30-14:00,18:00-19:00,否,否,5,日报（周报有的组写有的组不写）,卷。严格打卡考勤，一天工时得满9小时（朝十晚七）。,,,,,,互联网
669,阿里,ICBU,前端,深圳,9:30~10:00,18:30 或 21:30，一半一半吧,12:00~1:30,6:00~6:30,否,否,5,双周报,,,,,,,互联网
670,中国平安,银行保险部,后端,上海,9,18,11.30-13.30,???,???,???,5,???,技术一般，至少是微服务，轻松，福利根据股价来，股价正常福利好，股价不正常福利砍得很多，但是也不少，平安开发有自己的整一套东西,,,,,,互联网
671,美团,基础研发平台,后台开发,北京,10-11点,9个小时打卡，一般9点或9点半走,12月14日,随意,否,是,5,前三个月日报，后面周报,需要oncall,,,,,,互联网
672,美团,快驴,用户运营,北京,10-10:30,10点后,12月14日,18-19,否,没事可以早走,5,周报,速跑,,,,,,互联网
673,58同城,技术中台TEG,产品,北京总部,10-10：20,7：30-9：00,11.30-12.00,6,抠搜下午茶,抠搜下午茶,5,是,氛围压抑 不太活泼 年轻人比例不比其他公司多 ,,,,,,互联网
674,阿里巴巴,AE速卖通,产品,杭州,10-10:30,7-8:30,12月14日,6月7日,否,从杭州回上海5点可以下班,5,否,师兄让没事早走，有事带电脑回去也别走太晚,,,,,,互联网
675,阿里巴巴,cto线-零售云,all,杭州,10am,2am,12,6,否,否,5月7日,日报+周报,别来,,,,,,互联网
676,阿里,优酷,产品,北京,09:30,9,12,6,否,六点下班,5,否,,,,,,,互联网
677,联想,IDG显示器,产品运营,北京,9.30-10.00,6.00-6.30,12.00-1.30,6.00-6.30,否,否,5,否,所在组工作氛围很好，不打卡，无强制下班要求，每天工作8小时就可以走，旁边的姐姐每天6点准时下班。,,,,,,互联网
678,百度,商业平台,前端,北京,10-10.30,8-9.30,11.30-12,5.30-6,否,组间情况不同,5,有日报有周报,,,,,,,互联网
679,联想,社会营销,运营,北京,10:00,06:00,12:00,06:00,否,否,五天,否,无,,,,,,互联网
680,旷视,Face++,算法,北京,10:00（比较灵活）,（7:00-9:00）,12:00,18:00,否,否,5,实习需要,,互联网,,,,,互联网
681,美团,到店广告平台,产品,上海,10-10:30,08:08:30,12月14日,6月7日,否,否,5,否,没食堂，工区拥挤，广平不错，组一般,互联网,,,,,互联网
682,Pony.ai,Infra,Engineer,北京,10:30,07:30,1h,无,否,6点下班,5,无,外企氛围,互联网， 民营企业,,,,,互联网
683,思科,webex,后端,杭州,09:00,18:00,11:30左右,,否,否,5,每天组会,,互联网,,,,,互联网
684,百度,通用技术服务部,运营,北京,10点半,做完可以走，一般晚上九点半,11：30-13：30,随意,否,否,5,有,,互联网,,,,,互联网
685,百度,内容技术架构,rd,北京,10点-10点半,9点半-10点半,12点,6点,否,稍微早一点，有事可早走,6,是,,互联网,,,,,互联网
686,百度,贴吧业务部,产品,北京,10：00-11：00,7：00-9：00 7点有人走 9点只有几个人在 ,12：00准时干饭,06:00,,,5,周报,,互联网,,,,,互联网
687,华夏基金,金融科技部,软件开发,北京,08:30,17:30,11:30-1:00,17:00后,否,否,5,晨会,上下班有班车，员工可申请公租房，无需挤地铁。,金融,,,,,金融
688,字节,电商支付,研发,北京,10.3,10点左右,12点,7点，活动日6点,双周活动日,可以早下班,5,第一个月日报? 周报，后面周报,,互联网,,,,,互联网
689,字节跳动,今日头条,服务端开发,深圳,上午10点-10点半,10点（实习生9点）,12点,7点,双周活动日，吃完饭就可以走,吃完饭可以走,5,日报,,互联网,,,,,互联网
690,苏州科达,监控产品线,软件开发,上海,09:00,一三五17:30 二四20:00,11:30~13:00,17:30~18:30,否,否,5，绝大部分产品线5.5,是,,民营企业,,,,,其他
691,字节跳动,直播,前端,杭州,11:00,22:00,11:50-14:-00,18:50,双周一次活动日,否,5,是，要写很长一段时间,,互联网,,,,,互联网
692,字节跳动,半次元,运营,上海,10:30,08:00,12:00,18:50,是，每隔一周，周三活动日,否,5,是，双周报+周报+双月okr,不卷，公司提供三餐，无打卡。,互联网,,,,,互联网
693,字节跳动,智能创作,图形算法,上海,10:30,09:30,12:00,07:00,两周一次活动日,可以早点走,5,每人都得写周报,工作氛围也不错。总体比较卷，但是少部分95后/00后比较多的组相对比较自由，8点就走光了。,互联网,,,,,互联网
694,中国移动咪咕,游戏业务部门,运营,南京,09:00,不在公司吃饭的，6：30左右陆陆续续的走，大部分在公司吃饭的人7点-8点以后走,11：30-1：30,6点下班就可以去食堂吃饭了,否,否,5，周六日偶尔有工作需要处理，占用时间基本不超过1-2小时,每周周报（所有员工），目前1周写1-3次周报,,互联网， 通信， 国企,,,,,互联网
695,科大讯飞,AI工程院,后端,合肥,9点半,8点到8点半,12点左右,6点左右,6点下班,6点下班,周六白天一般加班,是,,互联网,,,,,互联网
696,博智林机器人,机器人研究院,运营,顺德,08:30,晚上18到21,11点半,5点半,不特殊,不特殊,五天,要的啊，老人也需要,,地产,,,,,其他
697,某广告公司,策划部,客户经理,深圳,10:00,不定时,12：00-13：30,18：00以后,否,否,6,是,入行三年，目前月薪平均在17k左右，无止境加班，全国到处跑，上班时间视客户而定，千万不要进广告行业，感觉迟早猝死。,广告,,,,,其他
698,快手,质量与研发效能,测开,北京,10点左右,9点-10点,12:00,07:00,否,否,5,有日报,mentor人特别好，实习生可以很早走，mentor不会说什么，但是我mentor基本都在10点以后下班，从来没在我下班之前走过，正式员工可能还是有点卷,互联网,,,,,互联网
699,腾讯,AMS-PTP,后台,深圳,10点,20点,12点-12点半,18点-19点,无,可以早走,5,,经常可以摸鱼,互联网,,,,,互联网
700,字节,Data-数据平台,产品,北京/上海,10:30,9-10点,12点,19点,是,一般可以早走,5,无,卷得一笔，人比事多系列。感觉好些个老板能力都不行啊（此处包含产品、研发），0决策、0指导，只负责diss、PUA和汇总okr，每一天都心累无比。相比之下一线员工都还不错，能力挺强，氛围也好。喜欢向上管理和跪舔老板的可以来。,互联网,,,,,互联网
702,腾讯,ieg光子市场,市场,深圳,10:00,21:00（卷起来至少22：30）,12:30-14:00,18:30-19:00,健康日,18点下班如果有事就走,5,新人周边/项目每天日报、周报、ppt,虽然施行21点不加班制度，但是大家都偷偷加班，不打卡留记录，反而增加了很多不便，不加班制度形同虚设。。该卷还是卷,互联网,,,,,互联网
703,美团,外卖-广告,前端,北京,10.3,9,12.00-14.00,18.00-19.00,否,否,5,周报,在招高p,互联网,,,,,互联网
704,奇安信,安全服务子公司,驻场,二三线城市,一般为9点或9点半,一般为6点，部门客户单位为5点可以一起下班,12:00-14:30,,否,某些客户会同意提早下班,5,日报/周报,,互联网,,,,,互联网
705,颐付网络科技,技术部,后端,上海,10点,18:30,12:00-14:00,下班,否,否,5,否,氛围好,互联网， 金融,,,,,互联网
705,颐付网络科技,技术部,后端,上海,10点,18:30,12:00-14:00,下班,否,否,5,否,氛围好,互联网， 金融,,,,,金融
706,美团,优选,软件开发工程师,北京,10：30-11：00,10:00,12:00,18:00,否,是，可以早走,5,是,,互联网,,,,,互联网
707,Vivo,软件领域,安卓开发工程师,南京,09:00,9点过后，目前是十点,12月14日,18-19,可以(早走),可以,5,无,岗位很卷很卷,互联网,,,,,互联网
708,快手,服务号,产品,北京,10:30,10:00,12:00-14:00,18:00-19:00,否,周五大家一般都会早走一会,5,否,,互联网,,,,,互联网
709,平安,健康险,前端,上海,8:55～18:00,19:00,12:00,18:00,每两周的周三要加班到21:00左右上线项目,不特殊,5,所有人都需要每周上报每天的工时,,互联网， 金融,,,,,金融
709,平安,健康险,前端,上海,8:55～18:00,19:00,12:00,18:00,每两周的周三要加班到21:00左右上线项目,不特殊,5,所有人都需要每周上报每天的工时,,互联网， 金融,,,,,互联网
710,PayPal,NDA,Software Developer,上海, 9-10,06:00,随意,,,提前下班,5,,,外企,,,,,外企
711,天津航空机电,传感器分厂,工艺,天津,08:10,16:20,11:40,16:40,否,否,6～7,是,,机械， 国企,,,,,其他
712,招商银行-招银网络科技成都,AI与数据资产,系统开发,成都,08:30,21:30,12:00-14:00,05:30,理论是5:30，通常18:00之后能走,理论是5:30，通常18:00之后能走,5,所有员工每日报工,公司氛围内卷严重，组长以上领导技术奇差，心累。绩效全靠添。,金融,,,,,金融
713,美团,外卖客户端,前端/客户端,北京,10:30,09:30,12:00,18:00,否,否,5,是,,互联网,,,,,互联网
714,微软,STCA,SDE,苏州,10～11,17～18,12～13,～,否,下午一般可以提前走,4,否,级别高的大概还是比较忙的，上班时间都是弹性，每周还有2天可以不申请直接在家办公,互联网， 外企,,,,,互联网
714,微软,STCA,SDE,苏州,10～11,17～18,12～13,～,否,下午一般可以提前走,4,否,级别高的大概还是比较忙的，上班时间都是弹性，每周还有2天可以不申请直接在家办公,互联网， 外企,,,,,外企
715,善诊,产品,产品经理,上海,9(迟到一次发100红包）,21(不能早走，日常22，加班24）,12月14日,6-7:30,否,6点下班,5,周报,无,互联网,,,,,互联网
716,腾讯,WXG-技术架构部-基础架构中心,后台开发,广州,10~11点（早餐到10点）,21~22点,12点~14点（13点熄灯午休）,18~19点,无,无,5,两三天写一次日报，每周有周会,,互联网,,,,,互联网
717,中金公司,投资银行部,Associate,北京,9:30-10:00,平均23-24点,2h,2h,否,否,5.5-7,否,,金融,,,,,金融
718,阿里巴巴,钉钉,运营,杭州,09:45,21:00（偶尔没活可以提前走）,12:00-14:00,18:00开始,其实没有,基本可早走,5,是,,互联网,,,,,互联网
719,美团,视觉智能部,产品/运营,北京,10:30,22:00,1h,1h,否,否,5,周报,平均每天10-12小时,互联网,,,,,互联网
720,东吴证券,零售客户部,产品,上海,8.30 （打卡随意）,5:00（如遇周五发版，需要产品验收，可远程）,11:00,回家吃,无,如遇周五发版，需要产品验收，可远程,5,看领导,,金融， 国企,,,,,金融
721,阿里,CTO线-CBU,后端,杭州,10:00,21:00,12：00-14：00,18：00-19：30,否,18：00下班,5,第一周日报，后续双周报,下班时间没有很严格，有事可以提前走，也不用请假啥的,互联网,,,,,互联网
722,中国农业银行总行,研发中心,开发,北京,08:30,23:00,11:30,17:30,不,不,6,全体人都要周报,,金融， 国企,,,,,金融
723,好大夫在线,基础信息事业部,服务端,北京朝阳,09:30,19:30-24:00,12:00,18:30,否,否,5,日报,公司规定12点跟上线，可以第二天上午不来，但是部门要求跟到两点，公司要求10点前到公司，但是部门要求9:00,互联网,,,,,互联网
724,Newsbreak,产品部,产品,北京,10:00-11:00,19:00-21:00(看当日工作情况，基本9点后没人了),12:00-14:00,19:00,周三运动日可以提早走,周五一般都可以提早走,5,无,平均每周会有2天需要早8/晚11点跨国开会，不过可以在家远程会议,互联网， 外企,,,,,外企
724,Newsbreak,产品部,产品,北京,10:00-11:00,19:00-21:00(看当日工作情况，基本9点后没人了),12:00-14:00,19:00,周三运动日可以提早走,周五一般都可以提早走,5,无,平均每周会有2天需要早8/晚11点跨国开会，不过可以在家远程会议,互联网， 外企,,,,,互联网
725,星动互娱,产品,产品,厦门,08:40,18:00,11:50,18:20,否,否,5,否,,互联网,,,,,互联网
726,腾讯,技术架构部,后端,广州,10:00-12:00,23:00-01:00,12:00-14:00,18:00-19:00,否,否,5~7,一个月周报,,互联网,,,,,互联网
727,美团,搜索与nlp部,算法策略,北京,10点到11点,7点到9点,,,,,5,是,,互联网,,,,,互联网
728,aviagames,it,高级服务端工程师,北京,10,21点以后，时不时通宵,12月2日,18-19,否,否,5,周报,代码上线动辄通宵，一般一周两次上线,互联网， 外企， 游戏,,,,,外企
728,aviagames,it,高级服务端工程师,北京,10,21点以后，时不时通宵,12月2日,18-19,否,否,5,周报,代码上线动辄通宵，一般一周两次上线,互联网， 外企， 游戏,,,,,互联网
729,华为,2012,算法,杭州,09:00,20:40,12:00:1:40,05:30,否,否,月末6天，其他周六看情况,是,,互联网， 通信,,,,,互联网
730,北京永航科技股份有限公司,技术支持中心,程序,北京,10:00,07:00,12:00,,,,5,否,,互联网,,,,,互联网
731,小米,互联网业务部,产品,北京,9点30,9,12,6,否,否,5（视情况加班，不允许调休）,有,,互联网,,,,,互联网
732,腾讯,微信搜索应用部,后台,广州,10点左右，有事可晚来不用请假,9点半左右,12点,18点,是,可以早走,5,否,工作、技术氛围都很好，同事很nice，好沟通,互联网,,,,,互联网
733,美团,外卖,外卖,北京,10,19,送餐间隙吃一口,送餐间隙吃一口,否,否,5,,,其他,,,,,其他
734,腾讯,PCG,后端研发,北京,10:00,09:00,12点-2点,6点-7点,否,否,5,周报,,互联网,,,,,互联网
735,腾讯,CSIG-腾讯医典,后台,深圳,9：30-10：00,7-9，做完可早走,11:30-2:30,5:30-7:00,否,否，但是一般很多人周五早走,5,是,部门管理略混乱，基本靠口口相传,互联网,,,,,互联网
736,tx,光子设计中心（中台）,视觉设计,深圳,9：00（不同项目不同作息）,9：00（不同项目不同作息，9点强制下班，做不完要回家做）,11.3,5.3,周三不加班,否,5,,,互联网,,,,,互联网
737,字节跳动,视频架构-服务架构,后端,上海,10:30,9+，偶尔早走没事,12月14日,19-20,双周6点,原则上没有，实际大多可以7点run,5,统一有周报,,互联网,,,,,互联网
738,腾讯,ieg-北极光A1,服务器,上海,10,9+,12月14日,18-19,是，18统一run,否,5,统一周报,,互联网,,,,,互联网
739,厦门银行,信息技术部,系统开发岗,厦门,09:00,17:30,12:00,,,管的系统上线的话排期可能会到10点以后,5,周报 瞎写点就行领导不会看的,适合厦门人养老（不带新项目的话）,金融,,,,,金融
740,北京银行,总行软件开发中心,开发,北京,八点半,五点半（但是6点开饭，一般没太大事六点多走）,12点,6点,无,无,5,无,新人培训时间长，上来不push，暂时感觉整体压力不大气氛还好。每两周一个周二投产可能加班不过跟新人没关系。,金融， 国企,,,,,金融
741,蚂蚁集团,金融网络技术部,开发工程师,上海,10:00,一般九点以后，周三周五可以七点走。卷王一般每天10点-11点下班,12点到13点,18点到19点30,是,是,5,,,互联网,,,,,互联网
742,幻萌,四叶草R,前端,上海,10:00,9:00-10:00,2h,1h,否,否,6,是,,互联网,,,,,互联网
743,VMware,NSBU,研发,北京,10:00,18:00,1h,无,否,每天都可以特（不）殊（去）,否,周报,,外企,,,,,外企
746,bilibili,游戏事业部,运营,上海,10点前,理论7点，实际7点半以后，leader要求24小时内随叫随到,无,无,不,不,5,写,,互联网,,,,,互联网
747,字节,本地建设,市场运营,武汉,10,19,,,否,,5,,,互联网,,,,,互联网
748,TRS,项目开发部,前端,成都,09:30,18:30,11:40-13:30,18:30,否,否,5,否,尚可,互联网， 民营企业,,,,,互联网
749,滴滴,ibt 国际化,后端开发,北京,实习生十点，正式感觉没有要起十一点以后也有,实习生八点或者更早看你自己，正式好像也没有要求，九点也可以前也行,十二点到下午两点,六点 食域点餐 美滋滋,无,早点回去？,5 不让我加班 呜呜,没写过,氛围极好,互联网,,,,,互联网
750,阿里巴巴,cto线-拍卖,后端,杭州,9：00-10：00,9：00-9：30,12：00-14：00,18:00,否,是,5,周报,,互联网， 民营企业,,,,,互联网
751,腾讯,CSIG在线教育中心-企鹅辅导,产品运营,深圳,10-10:30,18:00,12:00-14:30，3h,17:30-18:00,否,否,5,日报+周报,不用来了，刚喜提裁员大礼包,互联网， 教育,,,,,互联网
752,酷家乐,前沿技术研究院,算法工程师,杭州,10：00-10:30,20:00-20:30,12:00-14:00,18:30-19:10,否,七点,5,周报,强度不大,互联网,,,,,互联网
753,虎牙,营收游戏,产品/运营,广州,11,21,2h,1-2h,,否,5,周报,,互联网,,,,,互联网
754,联想,DIBG,数据科学家,北京,09:30,06:30,11:30-1:30,06:30,否,否,5,否,,民营企业,,,,,其他
755,国家开发银行 ,中非发展基金,投资,北京,08:30,17:30,11：30-13：30,,,,5,,,金融,,,,,金融
756,联想集团,数据智能事业部,产品,北京,09:30,06:30,11:30-1:00,6,无,无,5,无,,民营企业,,,,,其他
757,腾讯,WXG深圳某部门,后台开发,深圳,10点前,21点左右,12点,18点,否,是,5,有的组全员日报、有的组周报,技术非常落后、无注释无文档、嫡系氛围严重、老油条多、新人背星传统。,互联网,,,,,互联网
758,虾皮（shopee）,供应链,产品,深圳,10：00~10：20,19：10~19：30,12：30~14：00,19：00以后,否,否,5,entry task做完前需要日报，做完后就是双周报 ,产品目前还不是很卷。但是已经开始实行OKR（其实是KPI）,互联网,,,,,互联网
759,京东零食,数据中台,后端,成都,9,9,11.40-1.40,7.000-8.00,7点下班,7点下班,5,周报,氛围nice，对新人友好,互联网,,,,,互联网
760,百度,内容策略部,算法,北京,10：00-10：45,09:30,12：00-14：00,18：00-19：00,否,否,5,周报,,互联网,,,,,互联网
761,上海萌幻网络,技术中心,U3D开发,上海,10:00,21:00-22:00,12:00-14:00,18:00-19:00,否,否,6,是,,互联网,,,,,互联网
762,腾讯,微信广告,产品运营,深圳,10,10,12月14日,18-20,否,否,5,是,卷到起飞，现在周报要发全部门邮件,互联网,,,,,互联网
763,360,商业化,产品,北京,10点,7点,12月2日,6月7日,不,不,5,周报,,互联网,,,,,互联网
764,南京中软国际,CBGIT,高级开发工程师,南京,09:00,18:30,,,,,5,,,互联网， 其他,,,,,互联网
765,猿辅导,斑马,产品,北京,10:00,7-9（大部分7-8）,10月14日,6,否,否,5,无,本来还是很香的，不卷。。只不过最近打击的太厉害了，不涨薪了,互联网,,,,,互联网
766,学科网,基础应用,研发,北京,8.3,17.3,12,17.3,否,开周会，发零食,5,日报,不加班,互联网， 教育,,,,,互联网
767,英伟达,软件,软件开发,深圳,10.3,5.3,随意,无,无,运动,5,是,,互联网， 机械， 外企,,,,,外企
767,英伟达,软件,软件开发,深圳,10.3,5.3,随意,无,无,运动,5,是,,互联网， 机械， 外企,,,,,互联网
768,Mobplus,商务部,运营兼商务,中国,10点前,6点或随意,什么时候都可以,什么时候都可以,否,否,5,没,外企 远程自由工作,互联网， 外企,,,,,互联网
768,Mobplus,商务部,运营兼商务,中国,10点前,6点或随意,什么时候都可以,什么时候都可以,否,否,5,没,外企 远程自由工作,互联网， 外企,,,,,外企
769,百度,国际化,运营,深圳,10,9,12月14日,18,否,否,5,日报,,互联网,,,,,互联网
770,华为,云服务,后端,深圳,09:00,18:00，但是一般要10点左右才下班，部门卷，暗地里统计一个月不超过80小时加班数的人,12:00,18:00,有组织运动或者可以下班就走,否，一般走得早些,基本大小周，有些忙的6天/周,是,很卷，累，技术栈与互联网差不别不大，活多。,互联网,,,,,互联网
771,喜马拉雅,泛知识,运营,上海,10,8,12:00-13:30,6月7日,否,否,5,周报,run,互联网,,,,,互联网
772,wifi万能钥匙,产品,产品,上海,10:00,19:00,11:30,,no,no,5,,,互联网,,,,,互联网
773,字节跳动,搜索-业务研发,后端,北京,10.3,9,12月2日,7月8日,双周早下班一次,早下班,5,不清楚,,互联网,,,,,互联网
774,阿里蚂蚁,体验技术部,前端,杭州,10.3,7点开始有人走，9点走人高峰,12.00-14.00,6.00-7.30,看组内文化。有的组周三高效日走得早，一般六点半,六点下班高峰,5,新人，实习生等,,互联网,,,,,互联网
775,京东,京东零售,前端,上海,11点前,18-20点,12:00,06:40,否,否,五天,周报,组内氛围好，大促近邻可能会加班，加班时间可以换调休,互联网,,,,,互联网
776,百度,地图,后端,北京,10点,8点20陆续走 9点走70%,12点到14点,6点到7点,否,没事基本早走,5,都有,,互联网,,,,,互联网
777,腾讯,WXG 搜索,后端,广州,10,9.30 -10,12,6,是,是,5,无,,互联网,,,,,互联网
778,腾讯,腾讯云,后端,深圳,10,9月10日,2.5h,1h,无,一般走的比较早,5,,,互联网,,,,,互联网
779,58同城,产品,产品经理,北京,10,7,12月2日,6月7日,否,否,5,是,,互联网,,,,,互联网
780,微软,C+AI,SWE,上海,9:00-10:00,17:30,随意,回家吃,否,否,5,否,内推发邮件至 junhan@microsoft.com，大量HC,互联网， 外企,,,,,互联网
780,微软,C+AI,SWE,上海,9:00-10:00,17:30,随意,回家吃,否,否,5,否,内推发邮件至 junhan@microsoft.com，大量HC,互联网， 外企,,,,,外企
781,农银金科,不便透露,后端,北京,08:30,19:00,11:30-13:30,无,否,否,5,看组,,金融,,,,,金融
782,快手,AI平台,后端,北京,10:00,20:00~21:30,12:00,19:00,否,否,5,是,,互联网,,,,,互联网
783,普联技术有限公司,杭州视频,软件工程师,杭州,08:30,可以六点走，八点后走算一次加班。大概每个月15次左右不会被约谈，太少会找谈话。周末每加两个小时计一次加班，最多计两次。,11:50,06:00,否,否,5,有日报，所有人都有周报,,互联网， 通信,,,,,互联网
784,微博,机器学习研发中心,算法,北京,10:30,08:00,12:00,随意5:45开饭到7:15,否,是,5,周报,无pua，打卡9小时可走(有的同事10点来6点下去吃个饭后就走了)，强度适中，适合wlb,互联网,,,,,互联网
785,百度,商业风控,后端,北京,10.3,20.00-9.00(有事群里说一声可早走),12.00-14.00,17.30-19.30(看个人安排),否,六点可下班,5,日周,,互联网,,,,,互联网
786,莉莉丝,游戏项目组,程序,上海,十点,八点,12到14,6点,否,否,5,有日报周报，比较简短,Base中等，加班不多,互联网,,,,,互联网
787,腾讯,pcg nbase业务部,后端,上海,10:00,20:00-21:00,11:30左右,17:30,否,否,5,周报,,互联网,,,,,互联网
788,腾讯,PCG看点,产品,北京,10:30,21:30+,12月14日,18-19,否,可以提前溜,5,否,,互联网,,,,,互联网
789,美团,搜索,算法,北京,10-10:30,9-9:30,12月14日,18-19,否,否,5,周报,氛围挺好的，组内同事愿意分享和交流,互联网,,,,,互联网
790,蔚来汽车,DD,后端开发,上海,09:30,06:30,11:30-13:00,,否,6点,5,周报,,其他,,,,,其他
791,字节跳动,商业产品－本地行业变现,产品经理,上海,11点 不打卡没考勤,9－11点,11：50－1：30,18：50－8：00,否,否,5,周报 但不强制,氛围好但是需求多，很卷,互联网,,,,,互联网
792,百度,商业策略,算法,北京,10:30,22:30,1小时,1小时,否,否,5,是,,互联网,,,,,互联网
793,商汤,研究院,算法开发,上海,09:30,18:30,11:30,17:30或者下班吃,无,无,5,周报,,互联网,,,,,互联网
794,字节,中台,产品,北京,10:30,10点以后,12点-2点,6:50-8:00,活动日6、7点下班,无,5,有，刚来天天写日报,太卷还没方向、管理乱,互联网,,,,,互联网
795,字节,战略,实习,北京,10:30,22:00,12:00,19:00,是,否,5,是,,互联网,,,,,互联网
796,哔哩哔哩,市场,市场实习,上海,11:30,07:30,12:00,19:00,无,无,5,是,,互联网,,,,,互联网
797,新浪,微博,搜索算法,北京,10:30,20:00,2h,随意,否,否,5,周报,,互联网,,,,,互联网
798,Paypal,风控,数据分析,上海,10,6,12:00-14:00,,,,5,,,互联网， 金融,,,,,互联网
798,Paypal,风控,数据分析,上海,10,6,12:00-14:00,,,,5,,,互联网， 金融,,,,,金融
799,招商证券,金融科技中心,产品经理,深圳,8:30(不考勤，一般50% 9点之前到，95% 9点半之前到，需盘前检查的例外）,17:00下班，实际不加班 18:30 左右,11:30,18:30,无,无,5,看团队，无硬性规定,,金融,,,,,金融
800,阿里云,SLB,开发,杭州,10点,9~10点,12点左右随意,6点左右随意,活动日,活动日,5,周报,需要oncall，大概两个月轮一周，组内氛围好，技术好，强度大,互联网,,,,,互联网
801,网易,人力资源部,hrbp,杭州,09:30,21:00,12:00,18:00,否,18:00,5,日报+周报,,互联网,,,,,互联网
802,腾讯,云产品三部,算法,上海,10:00,21:00,2小时,1小时,否,早点走,5,,,互联网,,,,,互联网
803,美团,金服,系统开发实习,上海,10.30左右到即可,9点走的比较多,12:00,18:00,否,会有活动，可以早走,5,实习生无日报周报,,互联网， 金融,,,,,互联网
